ID,feed_id,method_id,pollutant_averaging,pollutant_id,pollutant_unit,date,pollutant_value,station_id,X,Y,ID_estacion
40,UYMVD_2015_1_5_15,UYMVD_NO2_2,1,NO2,ug/m3,05/01/2015 15:00,63,UYMVD_E5,576214,6138342,Tres Cruces 2
41,UYMVD_2015_1_5_16,UYMVD_NO2_2,1,NO2,ug/m3,05/01/2015 16:00,62,UYMVD_E5,576214,6138342,Tres Cruces 2
42,UYMVD_2015_1_5_17,UYMVD_NO2_2,1,NO2,ug/m3,05/01/2015 17:00,70,UYMVD_E5,576214,6138342,Tres Cruces 2
43,UYMVD_2015_1_5_18,UYMVD_NO2_2,1,NO2,ug/m3,05/01/2015 18:00,62,UYMVD_E5,576214,6138342,Tres Cruces 2
44,UYMVD_2015_1_5_19,UYMVD_NO2_2,1,NO2,ug/m3,05/01/2015 19:00,38,UYMVD_E5,576214,6138342,Tres Cruces 2
45,UYMVD_2015_1_5_20,UYMVD_NO2_2,1,NO2,ug/m3,05/01/2015 20:00,43,UYMVD_E5,576214,6138342,Tres Cruces 2
46,UYMVD_2015_1_5_21,UYMVD_NO2_2,1,NO2,ug/m3,05/01/2015 21:00,42,UYMVD_E5,576214,6138342,Tres Cruces 2
47,UYMVD_2015_1_5_22,UYMVD_NO2_2,1,NO2,ug/m3,05/01/2015 22:00,39,UYMVD_E5,576214,6138342,Tres Cruces 2
48,UYMVD_2015_1_5_23,UYMVD_NO2_2,1,NO2,ug/m3,05/01/2015 23:00,34,UYMVD_E5,576214,6138342,Tres Cruces 2
49,UYMVD_2015_1_6_0,UYMVD_NO2_2,1,NO2,ug/m3,06/01/2015 0:00,16,UYMVD_E5,576214,6138342,Tres Cruces 2
50,UYMVD_2015_1_6_1,UYMVD_NO2_2,1,NO2,ug/m3,06/01/2015 1:00,17,UYMVD_E5,576214,6138342,Tres Cruces 2
51,UYMVD_2015_1_6_2,UYMVD_NO2_2,1,NO2,ug/m3,06/01/2015 2:00,14,UYMVD_E5,576214,6138342,Tres Cruces 2
52,UYMVD_2015_1_6_3,UYMVD_NO2_2,1,NO2,ug/m3,06/01/2015 3:00,16,UYMVD_E5,576214,6138342,Tres Cruces 2
53,UYMVD_2015_1_6_4,UYMVD_NO2_2,1,NO2,ug/m3,06/01/2015 4:00,19,UYMVD_E5,576214,6138342,Tres Cruces 2
54,UYMVD_2015_1_6_5,UYMVD_NO2_2,1,NO2,ug/m3,06/01/2015 5:00,28,UYMVD_E5,576214,6138342,Tres Cruces 2
55,UYMVD_2015_1_6_6,UYMVD_NO2_2,1,NO2,ug/m3,06/01/2015 6:00,30,UYMVD_E5,576214,6138342,Tres Cruces 2
56,UYMVD_2015_1_6_7,UYMVD_NO2_2,1,NO2,ug/m3,06/01/2015 7:00,36,UYMVD_E5,576214,6138342,Tres Cruces 2
57,UYMVD_2015_1_6_8,UYMVD_NO2_2,1,NO2,ug/m3,06/01/2015 8:00,36,UYMVD_E5,576214,6138342,Tres Cruces 2
58,UYMVD_2015_1_6_9,UYMVD_NO2_2,1,NO2,ug/m3,06/01/2015 9:00,44,UYMVD_E5,576214,6138342,Tres Cruces 2
59,UYMVD_2015_1_6_10,UYMVD_NO2_2,1,NO2,ug/m3,06/01/2015 10:00,50,UYMVD_E5,576214,6138342,Tres Cruces 2
60,UYMVD_2015_1_6_11,UYMVD_NO2_2,1,NO2,ug/m3,06/01/2015 11:00,31,UYMVD_E5,576214,6138342,Tres Cruces 2
61,UYMVD_2015_1_6_12,UYMVD_NO2_2,1,NO2,ug/m3,06/01/2015 12:00,25,UYMVD_E5,576214,6138342,Tres Cruces 2
62,UYMVD_2015_1_6_13,UYMVD_NO2_2,1,NO2,ug/m3,06/01/2015 13:00,20,UYMVD_E5,576214,6138342,Tres Cruces 2
63,UYMVD_2015_1_6_14,UYMVD_NO2_2,1,NO2,ug/m3,06/01/2015 14:00,23,UYMVD_E5,576214,6138342,Tres Cruces 2
64,UYMVD_2015_1_6_15,UYMVD_NO2_2,1,NO2,ug/m3,06/01/2015 15:00,23,UYMVD_E5,576214,6138342,Tres Cruces 2
65,UYMVD_2015_1_6_16,UYMVD_NO2_2,1,NO2,ug/m3,06/01/2015 16:00,27,UYMVD_E5,576214,6138342,Tres Cruces 2
66,UYMVD_2015_1_6_17,UYMVD_NO2_2,1,NO2,ug/m3,06/01/2015 17:00,27,UYMVD_E5,576214,6138342,Tres Cruces 2
67,UYMVD_2015_1_6_18,UYMVD_NO2_2,1,NO2,ug/m3,06/01/2015 18:00,35,UYMVD_E5,576214,6138342,Tres Cruces 2
