ID,pollutant_id,pollutant_averaging,date,pollutant_value,pollutant_unit,station_id,X,Y,ID_estacion,method_id
1,PM2,24,02/01/2007,86,ug/m3,UYMVD_E1,572452,6137044,Ciudad Vieja 2,UYMVD_PM2_D 
2,PM2,24,09/01/2007,30,ug/m3,UYMVD_E1,572452,6137044,Ciudad Vieja 2,UYMVD_PM2_D 
3,PM2,24,15/01/2007,36,ug/m3,UYMVD_E1,572452,6137044,Ciudad Vieja 2,UYMVD_PM2_D 
4,PM2,24,06/02/2007,38,ug/m3,UYMVD_E1,572452,6137044,Ciudad Vieja 2,UYMVD_PM2_D 
5,PM2,24,12/02/2007,46,ug/m3,UYMVD_E1,572452,6137044,Ciudad Vieja 2,UYMVD_PM2_D 
6,PM2,24,21/02/2007,37,ug/m3,UYMVD_E1,572452,6137044,Ciudad Vieja 2,UYMVD_PM2_D 
7,PM2,24,26/02/2007,57,ug/m3,UYMVD_E1,572452,6137044,Ciudad Vieja 2,UYMVD_PM2_D 
8,PM2,24,05/03/2007,22,ug/m3,UYMVD_E1,572452,6137044,Ciudad Vieja 2,UYMVD_PM2_D 
9,PM2,24,12/03/2007,38,ug/m3,UYMVD_E1,572452,6137044,Ciudad Vieja 2,UYMVD_PM2_D 
10,PM2,24,16/03/2007,52,ug/m3,UYMVD_E1,572452,6137044,Ciudad Vieja 2,UYMVD_PM2_D 
11,PM2,24,28/03/2007,56,ug/m3,UYMVD_E1,572452,6137044,Ciudad Vieja 2,UYMVD_PM2_D 
12,PM2,24,10/04/2007,33,ug/m3,UYMVD_E1,572452,6137044,Ciudad Vieja 2,UYMVD_PM2_D 
13,PM2,24,20/04/2007,4,ug/m3,UYMVD_E1,572452,6137044,Ciudad Vieja 2,UYMVD_PM2_D 
14,PM2,24,02/05/2007,47,ug/m3,UYMVD_E1,572452,6137044,Ciudad Vieja 2,UYMVD_PM2_D 
15,PM2,24,08/05/2007,18,ug/m3,UYMVD_E1,572452,6137044,Ciudad Vieja 2,UYMVD_PM2_D 
16,PM2,24,10/05/2007,48,ug/m3,UYMVD_E1,572452,6137044,Ciudad Vieja 2,UYMVD_PM2_D 
17,PM2,24,16/05/2007,50,ug/m3,UYMVD_E1,572452,6137044,Ciudad Vieja 2,UYMVD_PM2_D 
