,feed_id,method_id,pollutant_averaging,pollutant_id,pollutant_unit,date,pollutant_value,station_id,X,Y,ID_estacion,,
966,UYMVD_2016_7_17_24,UYMVD_SO2_T,24,SO2,ug/m3,17/07/2016,1,UYMVD_E1,572831,6136774,Ciudad Vieja 1,,MUY BUENO
993,UYMVD_2016_8_28_24,UYMVD_SO2_T,24,SO2,ug/m3,28/08/2016,1,UYMVD_E1,572832,6136774,Ciudad Vieja 1,,MUY BUENO
997,UYMVD_2016_9_3_24,UYMVD_SO2_T,24,SO2,ug/m3,3/9/16,1,UYMVD_E1,572832,6136774,Ciudad Vieja 1,,MUY BUENO
1005,UYMVD_2016_9_15_24,UYMVD_SO2_T,24,SO2,ug/m3,15/09/2016,1,UYMVD_E1,572832,6136774,Ciudad Vieja 1,,MUY BUENO
1017,UYMVD_2016_10_3_24,UYMVD_SO2_T,24,SO2,ug/m3,3/10/16,1,UYMVD_E1,572832,6136774,Ciudad Vieja 1,,MUY BUENO
1024,UYMVD_2016_10_15_24,UYMVD_SO2_T,24,SO2,ug/m3,15/10/2016,1,UYMVD_E1,572832,6136774,Ciudad Vieja 1,,MUY BUENO
1028,UYMVD_2016_10_21_24,UYMVD_SO2_T,24,SO2,ug/m3,21/10/2016,1,UYMVD_E1,572832,6136774,Ciudad Vieja 1,,MUY BUENO
1031,UYMVD_2016_10_27_24,UYMVD_SO2_T,24,SO2,ug/m3,27/10/2016,1,UYMVD_E1,572832,6136774,Ciudad Vieja 1,,MUY BUENO
1033,UYMVD_2016_11_2_24,UYMVD_SO2_T,24,SO2,ug/m3,2/11/16,1,UYMVD_E1,572832,6136774,Ciudad Vieja 1,,MUY BUENO
1035,UYMVD_2016_11_8_24,UYMVD_SO2_T,24,SO2,ug/m3,8/11/16,1,UYMVD_E1,572832,6136774,Ciudad Vieja 1,,MUY BUENO
1040,UYMVD_2016_11_20_24,UYMVD_SO2_T,24,SO2,ug/m3,20/11/2016,1,UYMVD_E1,572832,6136774,Ciudad Vieja 1,,MUY BUENO
1043,UYMVD_2016_11_26_24,UYMVD_SO2_T,24,SO2,ug/m3,26/11/2016,1,UYMVD_E1,572832,6136774,Ciudad Vieja 1,,MUY BUENO
1048,UYMVD_2016_12_8_24,UYMVD_SO2_T,24,SO2,ug/m3,8/12/16,1,UYMVD_E1,572832,6136774,Ciudad Vieja 1,,MUY BUENO
1051,UYMVD_2016_12_14_24,UYMVD_SO2_T,24,SO2,ug/m3,14/12/2016,1,UYMVD_E1,572832,6136774,Ciudad Vieja 1,,MUY BUENO
1059,UYMVD_2016_12_26_24,UYMVD_SO2_T,24,SO2,ug/m3,26/12/2016,1,UYMVD_E1,572832,6136774,Ciudad Vieja 1,,MUY BUENO
844,UYMVD_2016_1_1_24,UYMVD_SO2_T,24,SO2,ug/m3,1/1/16,0,UYMVD_E1,572831,6136774,Ciudad Vieja 1,,MUY BUENO
863,UYMVD_2016_1_31_24,UYMVD_SO2_T,24,SO2,ug/m3,31/01/2016,0,UYMVD_E1,572831,6136774,Ciudad Vieja 1,,MUY BUENO
867,UYMVD_2016_2_6_24,UYMVD_SO2_T,24,SO2,ug/m3,6/2/16,0,UYMVD_E1,572831,6136774,Ciudad Vieja 1,,MUY BUENO
882,UYMVD_2016_3_1_24,UYMVD_SO2_T,24,SO2,ug/m3,1/3/16,0,UYMVD_E1,572831,6136774,Ciudad Vieja 1,,MUY BUENO
1009,UYMVD_2016_9_21_24,UYMVD_SO2_T,24,SO2,ug/m3,21/09/2016,0,UYMVD_E1,572832,6136774,Ciudad Vieja 1,,MUY BUENO
1055,UYMVD_2016_12_20_24,UYMVD_SO2_T,24,SO2,ug/m3,20/12/2016,0,UYMVD_E1,572832,6136774,Ciudad Vieja 1,,MUY BUENO
